arquivo,duracao_segundos,frequencia_amostragem,amplitude_media,amplitude_maxima,amplitude_ratio (mean/max),snr_estimado_db,zero_crossing_rate,regioes_silencio,silencio/tempo,cluster
i2KivehAkK8,17.229208333333332,48000.0,0.17600034,1.0947869,0.1607621908187866,53.120007,0.0532906409537438,0.0,0.0,41.0
Wk-n7Z1wpbw,15.058145833333333,48000.0,0.031591073,0.37574142,0.0840766280889511,21.731844,0.0326142135490439,0.0,0.0,70.0
GRqrruTXm44,19.110041666666667,48000.0,0.12663887,1.0282301,0.1231620013713836,32.707005,0.0461842673165457,0.0,0.0,36.0
rIsuIFagqNw,15.04,48000.0,0.09568641,0.5324958,0.1796942204236984,47.298313,0.0625789001594613,0.0,0.0,23.0
6bDY7VRI7sY,33.36708333333333,48000.0,0.095457606,0.62910354,0.1517359167337417,39.42967,0.0450654412352189,0.0,0.0,55.0
4NzeIM0mtEA,11.853791666666666,48000.0,0.250786,1.1100771,0.225917637348175,47.588127,0.0342530175078687,0.0,0.0,57.0
6KUPWXmzAhE,17.078291666666665,48000.0,0.17415443,1.0268086,0.1696074903011322,49.18773,0.0325682374570848,0.0,0.0,4.0
HHDWq8F9HNM,117.771625,48000.0,0.023424227,0.27378017,0.0855585262179374,27.647243,0.0435802291817605,0.0,0.0,0.0
KGLN4qHbwGE,23.010979166666665,48000.0,0.17040156,1.1867027,0.1435924619436264,29.039679,0.0598235037505792,0.0,0.0,36.0
SoYT7mWJlT4,15.000979166666667,48000.0,0.050050605,0.5510016,0.0908356755971908,42.271507,0.0287648670708955,0.0,0.0,9.0
bd58JK4eubs,30.371708333333338,48000.0,0.3098787,1.2971843,0.2388856410980224,191.25378,0.037200927734375,0.0,0.0,3.0
FRLw07eC5XI,6.0255833333333335,48000.0,0.22905132,0.95376074,0.2401559501886367,46.061665,0.0517958379424778,0.0,0.0,57.0
qACFSOCd0D0,10.077479166666668,48000.0,0.257004,1.0936146,0.2350041717290878,72.484116,0.0247917700066137,0.0,0.0,57.0
-GTkMkyjrhk,26.772625,48000.0,0.10641961,0.6776692,0.1570376902818679,31.69409,0.0560348449950199,0.0,0.0,18.0
5hSQ-p5WoLA,10.321270833333331,48000.0,0.39906752,1.1387033,0.3504578471183777,47.232285,0.0398615056818181,0.0,0.0,10.0
oc7L8ZLBJxs,14.338333333333331,48000.0,0.35116106,1.2306021,0.2853570878505707,50.450584,0.0290394836198884,0.0,0.0,10.0
