arquivo,duracao_segundos,frequencia_amostragem,amplitude_media,amplitude_maxima,amplitude_ratio (mean/max),snr_estimado_db,zero_crossing_rate,regioes_silencio,silencio/tempo,duracao_categoria
-89_5bDU5ko.mp3,54.56689583333333,48000,0.08739453,0.8488655,0.1029545068740844,28.500414,0.0689358446540265,3,0.05497838852998098,45-60s
LPDJollYuAc.mp3,12.968354166666666,48000,0.29096717,1.1350255,0.2563529908657074,48.810177,0.0228528474506578,0,0.0,10-25s
zu1dIUoGd1g.mp3,706.88,48000,0.044158928,0.54402757,0.0811703875660896,31.31522,0.0758952896181021,19,0.026878678134902672,>60s
0DQ82ua1GqQ.mp3,53.48716666666667,48000,0.103145145,0.9848571,0.1047310754656791,37.22979,0.0350580095650548,0,0.0,45-60s
q2LIyyDKeOU.mp3,60.00097916666667,48000,0.1310332,1.0446736,0.1254297941923141,51.049328,0.0424083461551279,0,0.0,>60s
4yuFON4u9ns.mp3,1020.0061875,48000,0.10814391,1.1138752,0.0970880016684532,26.78012,0.0478949801423645,43,0.04215660701568048,>60s
dAtGvjK8q2Q.mp3,37.3376875,48000,0.07718047,0.9262835,0.0833227261900901,25.938128,0.0357849766138246,2,0.05356518129303,35-45s
QinBWzZ3txo.mp3,102.72,48000,0.02817971,0.24493015,0.1150520294904708,28.452297,0.0741875194683833,4,0.03894080996884735,>60s
T3W9ov8-ofY.mp3,162.47004166666667,48000,0.02777417,0.3897569,0.0712602436542511,28.480171,0.0540791359268316,4,0.024619923519233415,>60s
0kKGkXgTxk0.mp3,63.20472916666667,48000,0.050613184,0.27421755,0.1845730990171432,58.52446,0.0474557300455619,0,0.0,>60s
tXpEQZApx64.mp3,180.1288125,48000,0.098456495,0.9088297,0.1083332747220993,25.522367,0.0817182099068125,0,0.0,>60s
KKIOPyCfj4c.mp3,174.567625,48000,0.35350338,1.4571716,0.2425955832004547,51.099495,0.0585150151705517,0,0.0,>60s
sKoAWrS1qZs.mp3,19.23775,48000,0.032301936,0.57148796,0.0565225146710872,23.296467,0.0389255430640243,1,0.051981130849501636,10-25s
TMZqrxZmt2g.mp3,37.593125,48000,0.045289744,0.7322228,0.0618524104356765,31.02052,0.0308976063829787,0,0.0,35-45s
EB43sgI9cSg.mp3,175.46160416666666,48000,0.01614264,0.34599555,0.0466556288301944,24.730598,0.0439363779920212,4,0.022797010314578557,>60s
NA7_0e0cEJs.mp3,127.25333333333332,48000,0.09585118,1.1259216,0.0851313099265098,28.197205,0.0504631775940826,0,0.0,>60s
4McSTEYaK5I.mp3,85.33333333333333,48000,0.08693065,0.75556946,0.115053154528141,30.00266,0.0907082049314148,2,0.0234375,>60s
YpwokkEY-DQ.mp3,574.1133958333334,48000,0.03358742,0.5218335,0.0643642470240593,25.890768,0.0397780573750789,21,0.036578139706212945,>60s
bkPR2pbsZWQ.mp3,35.5033125,48000,0.09938686,0.7192451,0.1381821930408477,52.743225,0.0847412182712526,0,0.0,35-45s
Onj69ZetL-A.mp3,58.53752083333333,48000,0.09164627,0.99597573,0.0920165702700614,25.640915,0.0339052072419369,0,0.0,45-60s
