n_neighbors,n_components,min_dist,min_cluster_size,min_samples,cluster_eps,embedding_model,coherence,diversity,silhouette
10,5,0.5,100,10,0.1,neuralmind/bert-base-portuguese-cased,0.562315479569696,0.85,0.08455248177051544
10,5,0.5,100,100,0.1,paraphrase-multilingual-mpnet-base-v2,0.5301056188177662,0.8125,0.16087990999221802
10,5,0.5,100,100,0.1,neuralmind/bert-base-portuguese-cased,0.479969406659427,0.9,0.014542518183588982
10,5,0.5,150,5,0.1,paraphrase-multilingual-mpnet-base-v2,0.5260516132684778,0.7583333333333333,0.18194854259490967
10,5,0.5,150,5,0.1,neuralmind/bert-base-portuguese-cased,0.5123367219617024,0.85,0.04551553726196289
10,5,0.5,150,10,0.1,paraphrase-multilingual-mpnet-base-v2,0.5022117983870182,0.875,0.06375236064195633
10,5,0.5,150,10,0.1,neuralmind/bert-base-portuguese-cased,0.562315479569696,0.85,0.08455248177051544
10,5,0.5,150,100,0.1,paraphrase-multilingual-mpnet-base-v2,0.5155032075963821,0.85,0.19385375082492828
10,5,0.5,150,100,0.1,neuralmind/bert-base-portuguese-cased,0.529239497379956,0.925,0.23156483471393585
10,10,0.0,50,5,0.1,paraphrase-multilingual-mpnet-base-v2,0.4796685030005555,0.7977272727272727,0.0434209406375885
10,10,0.0,50,5,0.1,neuralmind/bert-base-portuguese-cased,0.5652050415621244,0.78,-0.04950927197933197
10,10,0.0,50,10,0.1,paraphrase-multilingual-mpnet-base-v2,0.5266674990753173,0.75,0.08345811069011688
10,10,0.0,50,10,0.1,neuralmind/bert-base-portuguese-cased,0.5694711699405812,0.7789473684210526,-0.03431197255849838
10,10,0.0,50,100,0.1,paraphrase-multilingual-mpnet-base-v2,0.5346760574247927,0.8833333333333333,0.011514125391840935
10,10,0.0,50,100,0.1,neuralmind/bert-base-portuguese-cased,0.6057304959230573,0.7875,-0.10329316556453705
10,10,0.0,100,5,0.1,paraphrase-multilingual-mpnet-base-v2,0.4916724735959567,0.7541666666666667,0.06523555517196655
10,10,0.0,100,5,0.1,neuralmind/bert-base-portuguese-cased,0.5737371607167673,0.75,-0.03935735672712326
10,10,0.0,100,10,0.1,paraphrase-multilingual-mpnet-base-v2,0.5136428400386557,0.7727272727272727,0.06746163964271545
10,10,0.0,100,10,0.1,neuralmind/bert-base-portuguese-cased,0.49438567482122586,0.8833333333333333,0.022877618670463562
10,10,0.0,100,100,0.1,paraphrase-multilingual-mpnet-base-v2,0.5346760574247927,0.8833333333333333,0.011514125391840935
10,10,0.0,100,100,0.1,neuralmind/bert-base-portuguese-cased,0.6477123615744179,0.8333333333333334,-0.06148757413029671
10,10,0.0,150,5,0.1,paraphrase-multilingual-mpnet-base-v2,0.500578420936476,0.70625,0.08115445077419281
10,10,0.0,150,5,0.1,neuralmind/bert-base-portuguese-cased,0.4777227533862899,0.825,0.0050751566886901855
10,10,0.0,150,10,0.1,paraphrase-multilingual-mpnet-base-v2,0.5198262077889231,0.7625,0.11293210834264755
10,10,0.0,150,10,0.1,neuralmind/bert-base-portuguese-cased,0.49438567482122586,0.8833333333333333,0.022877618670463562
10,10,0.0,150,100,0.1,paraphrase-multilingual-mpnet-base-v2,0.5346760574247927,0.8833333333333333,0.011514125391840935
10,10,0.0,150,100,0.1,neuralmind/bert-base-portuguese-cased,0.6088590705602994,0.9125,0.07839911431074142
10,10,0.1,50,5,0.1,paraphrase-multilingual-mpnet-base-v2,0.49909658437326443,0.7647058823529411,0.07770325243473053
10,10,0.1,50,5,0.1,neuralmind/bert-base-portuguese-cased,0.5255419441999569,0.7705882352941177,-0.03436530381441116
10,10,0.1,50,10,0.1,paraphrase-multilingual-mpnet-base-v2,0.48815823937575237,0.7617647058823529,0.07894832640886307
10,10,0.1,50,10,0.1,neuralmind/bert-base-portuguese-cased,0.5856394271654288,0.7733333333333333,-0.03815394639968872
10,10,0.1,50,100,0.1,paraphrase-multilingual-mpnet-base-v2,0.4893360613790225,0.8071428571428572,0.13221542537212372
10,10,0.1,50,100,0.1,neuralmind/bert-base-portuguese-cased,0.6459789210328616,0.7785714285714286,-0.08328811824321747
10,10,0.1,100,5,0.1,paraphrase-multilingual-mpnet-base-v2,0.4852045617862732,0.8181818181818182,0.14023315906524658
10,10,0.1,100,5,0.1,neuralmind/bert-base-portuguese-cased,0.5784726726406366,0.815,-0.007819639518857002
10,10,0.1,100,10,0.1,paraphrase-multilingual-mpnet-base-v2,0.5031279419724193,0.8,-0.008359670639038086
10,10,0.1,100,10,0.1,neuralmind/bert-base-portuguese-cased,0.5976910275649777,0.81,-0.01305378321558237
10,10,0.1,100,100,0.1,paraphrase-multilingual-mpnet-base-v2,0.5079903826522828,0.7583333333333333,0.11462339013814926
10,10,0.1,100,100,0.1,neuralmind/bert-base-portuguese-cased,0.628609941953908,0.89,0.099236860871315
10,10,0.1,150,5,0.1,paraphrase-multilingual-mpnet-base-v2,0.5011452196272131,0.8,-0.0024090607184916735
10,10,0.1,150,5,0.1,neuralmind/bert-base-portuguese-cased,0.5935348160620005,0.8416666666666667,-0.03825187310576439
10,10,0.1,150,10,0.1,paraphrase-multilingual-mpnet-base-v2,0.4968408729006222,0.7833333333333333,-0.009718011133372784
10,10,0.1,150,10,0.1,neuralmind/bert-base-portuguese-cased,0.5186176259966551,0.9,0.05080924555659294
10,10,0.1,150,100,0.1,paraphrase-multilingual-mpnet-base-v2,0.5079903826522828,0.7583333333333333,0.11462339013814926
10,10,0.1,150,100,0.1,neuralmind/bert-base-portuguese-cased,0.5463102181357514,0.9333333333333333,0.12336722761392593
10,10,0.5,50,5,0.1,paraphrase-multilingual-mpnet-base-v2,0.5271324326359099,0.8038461538461539,0.13296948373317719
10,10,0.5,50,5,0.1,neuralmind/bert-base-portuguese-cased,0.4583321384668378,0.94,0.20230819284915924
10,10,0.5,50,10,0.1,paraphrase-multilingual-mpnet-base-v2,0.5430945321745777,0.8545454545454545,0.18893277645111084
10,10,0.5,50,10,0.1,neuralmind/bert-base-portuguese-cased,0.5247663453559843,0.8583333333333333,0.02146044559776783
10,10,0.5,50,100,0.1,paraphrase-multilingual-mpnet-base-v2,0.5134952639757726,0.825,0.2044786810874939
10,10,0.5,50,100,0.1,neuralmind/bert-base-portuguese-cased,0.547963923076454,0.8666666666666667,0.11269238591194153
10,10,0.5,100,5,0.1,paraphrase-multilingual-mpnet-base-v2,0.542335331189824,0.7625,0.09954573959112167
10,10,0.5,100,5,0.1,neuralmind/bert-base-portuguese-cased,0.4605901320246663,0.8833333333333333,0.22280822694301605
10,10,0.5,100,10,0.1,paraphrase-multilingual-mpnet-base-v2,0.5284880766920439,0.8357142857142857,0.24902714788913727
10,10,0.5,100,10,0.1,neuralmind/bert-base-portuguese-cased,0.5215070896780275,0.85,0.023547662422060966
10,10,0.5,100,100,0.1,paraphrase-multilingual-mpnet-base-v2,0.5134952639757726,0.825,0.2044786810874939
10,10,0.5,100,100,0.1,neuralmind/bert-base-portuguese-cased,0.494320703338597,0.9,0.2242494821548462
10,10,0.5,150,5,0.1,paraphrase-multilingual-mpnet-base-v2,0.5256886814468349,0.8,0.18344177305698395
