arquivo,duracao_segundos,frequencia_amostragem,amplitude_media,amplitude_maxima,amplitude_ratio (mean/max),snr_estimado_db,zero_crossing_rate,regioes_silencio,silencio/tempo
-89_5bDU5ko.mp3,54.56689583333333,48000,0.08739453,0.8488655,0.1029545068740844,28.500414,0.0689358446540265,3,0.05497838852998098
LPDJollYuAc.mp3,12.968354166666666,48000,0.29096717,1.1350255,0.2563529908657074,48.810177,0.0228528474506578,0,0.0
zu1dIUoGd1g.mp3,706.88,48000,0.044158928,0.54402757,0.0811703875660896,31.31522,0.0758952896181021,19,0.026878678134902672
0DQ82ua1GqQ.mp3,53.48716666666667,48000,0.103145145,0.9848571,0.1047310754656791,37.22979,0.0350580095650548,0,0.0
q2LIyyDKeOU.mp3,60.00097916666667,48000,0.1310332,1.0446736,0.1254297941923141,51.049328,0.0424083461551279,0,0.0
4yuFON4u9ns.mp3,1020.0061875,48000,0.10814391,1.1138752,0.0970880016684532,26.78012,0.0478949801423645,43,0.04215660701568048
1remxxfgpPY.mp3,128.777875,48000,0.037001826,1.0522693,0.0351638346910476,22.119888,0.0639136011140561,22,0.17083679941138957
dAtGvjK8q2Q.mp3,37.3376875,48000,0.07718047,0.9262835,0.0833227261900901,25.938128,0.0357849766138246,2,0.05356518129303
x1GLJqPoZeY.mp3,101.05325,48000,0.021896014,0.44792858,0.0488828234374523,34.58591,0.0815386910063067,22,0.21770700101184276
QinBWzZ3txo.mp3,102.72,48000,0.02817971,0.24493015,0.1150520294904708,28.452297,0.0741875194683833,4,0.03894080996884735
T3W9ov8-ofY.mp3,162.47004166666667,48000,0.02777417,0.3897569,0.0712602436542511,28.480171,0.0540791359268316,4,0.024619923519233415
AtCCUspOb7Q.mp3,501.87610416666666,48000,0.08393699,1.0950062,0.076654352247715,28.761103,0.0832915492464294,44,0.08767103999314572
RUhbtMDWMkQ.mp3,567.36,48000,0.04825816,0.3882724,0.1242894381284713,41.178917,0.0638919655404579,130,0.22913141567963902
lmOXWXmr-oE.mp3,501.8649791666666,48000,0.06569851,1.1737388,0.0559737049043178,32.923183,0.0475857008833687,36,0.07173244098398146
V1SCewnOoZo.mp3,18427.89008333333,48000,0.037967343,1.4333887,0.0264878198504447,22.739826,0.0512605169486727,5449,0.29569310297374846
0kKGkXgTxk0.mp3,63.20472916666667,48000,0.050613184,0.27421755,0.1845730990171432,58.52446,0.0474557300455619,0,0.0
tXpEQZApx64.mp3,180.1288125,48000,0.098456495,0.9088297,0.1083332747220993,25.522367,0.0817182099068125,0,0.0
KKIOPyCfj4c.mp3,174.567625,48000,0.35350338,1.4571716,0.2425955832004547,51.099495,0.0585150151705517,0,0.0
2-_50pF7U_Y.mp3,2226.432,48000,0.0073209074,1.0126364,0.0072295516729354,29.817684,0.0455503556083785,706,0.3170992871104979
sKoAWrS1qZs.mp3,19.23775,48000,0.032301936,0.57148796,0.0565225146710872,23.296467,0.0389255430640243,1,0.051981130849501636
TMZqrxZmt2g.mp3,37.593125,48000,0.045289744,0.7322228,0.0618524104356765,31.02052,0.0308976063829787,0,0.0
EB43sgI9cSg.mp3,175.46160416666666,48000,0.01614264,0.34599555,0.0466556288301944,24.730598,0.0439363779920212,4,0.022797010314578557
nH84VfHnWYE.mp3,2121.0035416666665,48000,0.042230077,1.0939329,0.0386039018630981,35.622894,0.0865995508829113,538,0.2536535132691217
